Neighborhood,Organization Name,Hours,Type,Serves,Website,Address,Phone Number ,Services,Donate Link,Volunteer Link,Notes
Albany Park,The Holy Order of Cherubim and Seraphim Movement,"Saturday, 10-12pm CST",Pantry/Grocery Distribution,"Residents of 60618, 60625",https://www.chicagosfoodbank.org/locations/the-holy-order-of-cherubim-and-seraphim-movement/,"4850 North Sawyer Avenue
Chicago, IL 60625",773-383-0276,Food Pantry,,,
Bowmanville,Nourishing Hope - The Hub,SCHEDULED Pick-Up Only,Online Market,,https://www.nourishinghopechi.org/,"5151 N Ravenswood Ave, Chicago, IL 60640",(773) 525-1777,"Online Market grocery pick up, social services when picking up order",https://give.nourishinghopechi.org/give/329310/#!/donation/checkout,https://www.nourishinghopechi.org/volunteer/,"The Hub is not a walk-in pantry. Qualifying households can place online orders for monthly grocery distribution and pick up at the Hub // Women-owned, LGBTO+ friendly"
Edgewater,St Thomas of Canterbury,"Grocery: Monday and Thursday 9-11:30am, 
Hot Meal: Tuesday 5:30 PM - 6:30 PM and Friday 5:30 PM - 6:30 PM",Pantry/Grocery Distribution and Hot Meal Program,Residents of Cook County,https://www.chicagosfoodbank.org/locations/st-thomas-of-canterbury/,"4827 N Kenmore Ave, Chicago, IL 60640",773-878-5507,"Hot Meal Program, Pantry/Grocery Distribution",,,"Grocery distribution serves: 60640, 60613, 60625, 60645, 60660 and Hot Meal Program serves Cook County residents"
Evanston,Evanston Vineyard Food Pantry,Wednesdays 6-8pm,Pantry/Grocery Distribution,"Everyone, limit 2x/month",https://evanstonvineyard.org/resources#food-pantry,"2495 West Howard Street, Evanston, IL 60202",847-328-4544,"Food pantry, Clothing closet, Resource Connections",,https://www.signupgenius.com/index.cfm?go=c.SignUpSearch&eid=0FCBCCDFFDCFFC64&cs=09B5BAAD8FBE8B137B7B64715BB59BCA&sortby=l.title,"Our food pantry is pickup only, and households are invited to visit up to twice a month. Please bring your GCFD card. If you are picking up food for someone else, please bring their GCFD card"
Irving Park,Irving Park Community Food Pantry,"Wednesday, 9-12pm
Second Tuesday/Month, 6-7pm",Pantry/Grocery Distribution,"Residents of 60618, 60641",https://www.irvingparkfoodpantry.org/,"4256 N Ridgeway Ave, Chicago, IL 60618",(773) 283-6296,"Food Pantry, Homebound deliveries, Assistance with applying to SNAP benefits, Holiday Distribution",https://www.irvingparkfoodpantry.org/home-1,https://www.irvingparkfoodpantry.org/home-1,"The pantry serves clients in need, within the 60641 and 60618 zip codes, a 3-5 day supply of food from all food groups."
Lincoln Square,The Friendship Center Food Pantry,"Get Groceries:
Monday: 12 – 4 p.m.
Tuesday: 3 – 7 p.m.
Thursday: 12 – 4 p.m.
Friday: 12 – 4 p.m.
Hot Meals To Go:
Thursday: 6 – 8 p.m.
Upcoming Closures
Thursday, October 30
Friday, October 31",Pantry/Grocery Distribution,Residents of Cook County,https://friendshipcenterchicago.org/,"2711 W Lawrence Ave, Chicago, IL 60625",(773) 907-6388,"Groceries, Hot meals to go, Pet Food Pantry",https://friendshipcenterchicago.org/ways-to-help/donate/,https://friendshipcenterchicago.org/ways-to-help/volunteer/,"They primarily serve neighbors in Albany Park, Lincoln Square, North Park, Ravenswood and West Ridge. However, anyone with proof of a Cook county address is welcome."
Mayfair,Salvation Army Food Pantry,"Tuesdays and Thursdays, 10:00 am to 12:00 pm",Pantry/Grocery Distribution,Residents of Cook County,https://centralusa.salvationarmy.org/mayfair/cure-hunger/,"5020 North Pulaski Road, Chicago, IL 60630 (Mayfair Community Church)",,Food Pantry,https://centralusa.salvationarmy.org/mayfair/ways-to-give/,https://centralusa.salvationarmy.org/mayfair/volunteer/,Serves: residents of Cook County
Mayfair,Food Pantry,"Saturday, 9-11am CST",Pantry/Grocery Distribution,Everyone,https://www.northwestchurchofchristchicago.org/food-pantry.html,"4602 North Kilbourn Avenue, Chicago, IL 60630 (Northwest Church of Christ)",773.283.2586,Food pantry includes: frozen meat and dry/canned foods,https://donorbox.org/member-giving-1,https://www.northwestchurchofchristchicago.org/contact-us.html,
Mayfair / Portage Park,Joined Hands Food Pantry,"Wednesday, 5-7:30pm CST",Pantry/Grocery Distribution,"Residents of Jefferson Park, Portage Park, and Six Corners Neighbors of Northwest Chicago",https://stjohnschicago.org/church/food-pantry/?,"4939 West Montrose Avenue, Chicago, IL 60641",773.736.1112,"Food pantry, Clothing assistance - Wednesdays from 5-7:30 p.m.",https://stjohnschicago.org/church/give/,,
North Center,Common Pantry,"Tuesday, 4-6pm CST",Pantry/Grocery Distribution,Residents of Cook County,https://www.commonpantry.org/,"3908 N Lincoln Ave, Chicago, IL. 60613",(773) 327-0553,"Food pantry, Free lunch on Wednesdays and also provides Housing assistance, Job referrals, Legal, Government benefits, and Medical referral resources ",https://www.commonpantry.org/donations/,https://www.commonpantry.org/volunteer/,"Any person within Cook County can visit once a month. Also, see website for holiday distribution of meals and gifts in November and December."
Norwood Park,New Hope Community Food Pantry,,,,https://www.newhopefoodpantry.com/,"6125 W Foster Ave, Chicago, IL 60630",(773) 775-1215,5-7 days of emergency food monthly per family,https://www.newhopefoodpantry.com/donate,https://www.newhopefoodpantry.com/volunteer,"Every Tuesday from 9:30am to 11:30am, they offer 5-7 days of emergency food monthly per family. First-time visitors should bring an ID or document with their name and address. The pantry serves residents from ZIP codes 60630, 60631, 60646, 60656, 60706, and 60634. All are welcome on their first visit, regardless of residence. "
Norwood Park,Windy City Community Church Food Pantry,,,,https://windycitycommunitychurch.org/food-pantry,"6131 North Newark Avenue
Chicago, IL 60631","
(773) 631-9222",Food pantry - Tuesday from 6:00 - 8:00pm,https://windycitycommunitychurch.org/food-pantry,https://windycitycommunitychurch.org/food-pantry,"Serving individuals living in the 60631, 60646, 60656 area code (at the moment is a pick-up only distribution site. 

First time visitor? It will take about 7-10 minutes to enter your information on the GCFD website.  Please be prepared with your Driver’s License or state ID with their current address."
Old Irving Park,Polish American Association Food Pantry,,,Residents of 60641,https://www.polish.org/en/programs/supportive-services/food-pantry,"4808 W Berenice Ave., Chicago, IL 60641",(773) 282-8206,Food pantry - four Tuesdays of each month between 10:00am and 2:00pm,,https://www.polish.org/en/volunteer,Serves residents of 60641
Ravenswood,All Saints Episcopal Church - Ravenswood Community Services,,,,https://ravenswoodcommunityservices.org/food-pantry-community-kitchen/,"4550 North Hermitage Avenue, Chicago, IL 60640",773-769-0282,"To-go hot meals, Dine-in meals, Food pantry, After school pantries",https://ravenswoodcommunityservices.networkforgood.com/projects/77645-ravenswood-community-services-annual-fund,https://ravenswoodcommunityservices.org/volunteer/,
Ravenswood,American Indian Center - Chicago,,,,https://www.facebook.com/AmericanIndianCenter/,"
3401 W. Ainslie st, Chicago, IL",773-275-5871,Food box distribution - sign up here: https://docs.google.com/forms/d/e/1FAIpQLSeUZpmsuCi1_h12fRrKVfgyH9xY9XOl1rYunXKpqK9WT_6UXQ/viewform,https://aicchicago.org/donate/,https://aicchicago.org/volunteer/,
Rogers Park,A Just Harvest,,,,https://ajustharvest.org/,"7653 N Paulina St.,
Chicago, Illinois, 60626",(773) 262-2297,"To go lunches, Grocery Delivery, Produce Mobile",https://ajustharvest.org/2017/09/28/give/,https://ajustharvest.org/volunteer/,Formerly known as Good News Community Kitchen
Rogers Park,Care For Real Pop Up Pantry,,,,https://www.ucrogerspark.org/pageb,"1545 W Morse Ave, Chicago, IL (United Church of Rogers Park)",,"Every Tuesday, 12-2pm // Grocery distribution",,https://www.ucrogerspark.org/pageb,Carts or rolling bags are recommended for carrying groceries. They ask that patrons wear masks and practice social distancing.
